language,strategy,threshold,threshold_sd,n_draws,f1,f1_sd,fpr,fnr,precision,recall,predicted_positive_rate,objective_value,is_degenerate,is_source,test_auroc,test_prevalence,dev_prevalence,n_dev,n_test,tau_source,source_language,objective,f1_ci_low,f1_ci_high,f1_target_full,f1_gap_to_full,prevalence_setting,fpr_budget,task,encoder,exp_id
ru,few_label_128_rand,0.8783168746998523,0.035339502799471,25,0.6895563084190858,0.05508258216359627,0.03653088042049934,0.450446549391069,0.9375115249906045,0.549553450608931,0.28928,0.549553450608931,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,0.018110077427586524,native,0.05,toxicity,encoder_minilm,EXP-007
ru,few_label_256_strat,0.8617904764436584,0.032759426213160546,25,0.7178037659860703,0.051683309848162766,0.042102496714848885,0.41266576454668474,0.9324739580206799,0.5873342354533153,0.31072,0.5873342354533153,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,-0.010137380139398022,native,0.05,toxicity,encoder_minilm,EXP-007
ru,few_label_256_rand,0.8732136511497187,0.03217979061665003,25,0.7014062050247004,0.04635446918326994,0.03763469119579501,0.4362110960757781,0.9368186697262846,0.563788903924222,0.29685333333333336,0.563788903924222,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,0.0062601808219718835,native,0.05,toxicity,encoder_minilm,EXP-007
ru,target_full,0.8722487759555844,0.0,1,0.7076663858466723,0.0,0.03679369250985545,0.4316644113667118,0.9375,0.5683355886332883,0.2986666666666667,0.5683355886332883,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,0.6818351746056069,0.740384339695523,0.7076663858466723,0.0,native,0.05,toxicity,encoder_minilm,EXP-007
ru,test_oracle_unachievable,0.842487441774286,0.0,1,0.755804643714972,0.0,0.04993429697766097,0.36129905277401897,0.9254901960784314,0.638700947225981,0.34,0.638700947225981,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,-0.04813825786829973,native,0.05,toxicity,encoder_minilm,EXP-007
tt,fixed_half,0.5,0.0,1,0.5429093122337189,0.0,0.5976095617529881,0.4029451137884873,0.49776785714285715,0.5970548862115127,0.5973333333333334,0.5970548862115127,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.398016200594764,native,0.05,toxicity,encoder_minilm,EXP-007
tt,source_global,0.6076457815873632,0.0,1,0.5056856187290969,0.0,0.4913678618857902,0.4939759036144578,0.5053475935828877,0.5060240963855421,0.49866666666666665,0.5060240963855421,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,0.4802859533235432,0.5437339863402626,0.14489311163895485,-0.36079250709014205,native,0.05,toxicity,encoder_minilm,EXP-007
tt,pooled_global,0.8546254300674356,0.0,1,0.3559928443649374,0.0,0.22841965471447542,0.7336010709504686,0.5363881401617251,0.26639892904953144,0.24733333333333332,0.26639892904953144,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.21109973272598254,native,0.05,toxicity,encoder_minilm,EXP-007
tt,worstcase_global,0.9623849971146405,0.0,1,0.1588785046728972,0.0,0.05444887118193891,0.9089692101740294,0.6238532110091743,0.09103078982597054,0.07266666666666667,0.09103078982597054,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.013985393033942334,native,0.05,toxicity,encoder_minilm,EXP-007
tt,quantile_match,0.6615021549553388,0.0,1,0.48117154811715485,0.0,0.4541832669322709,0.5381526104417671,0.5021834061135371,0.46184738955823296,0.458,0.46184738955823296,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.3362784364782,native,0.05,toxicity,encoder_minilm,EXP-007
tt,sld_em,0.4065407585118728,0.0,1,0.5799086757990868,0.0,0.6600265604249668,0.31994645247657294,0.5054726368159204,0.6800535475234271,0.67,0.6800535475234271,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.43501556416013193,native,0.05,toxicity,encoder_minilm,EXP-007
tt,bbse,0.5592792512972532,0.0,1,0.525445292620865,0.0,0.547144754316069,0.44712182061579653,0.5006060606060606,0.5528781793842035,0.55,0.5528781793842035,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.3805521809819102,native,0.05,toxicity,encoder_minilm,EXP-007
tt,few_label_8_strat,0.8723562533887924,0.13128550472722209,25,0.27098156543586,0.14568904982993322,0.1789641434262948,0.7895582329317269,0.6023751442094314,0.21044176706827308,0.19463999999999998,0.21044176706827308,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.12608845379690514,native,0.05,toxicity,encoder_minilm,EXP-007
tt,few_label_8_rand,0.8128549272623986,0.1839423473612695,25,0.3229088917840876,0.15259702502274433,0.24664010624169985,0.723855421686747,0.5676231545793061,0.276144578313253,0.2613333333333333,0.276144578313253,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.17801578014513275,native,0.05,toxicity,encoder_minilm,EXP-007
tt,few_label_16_strat,0.9440802322164978,0.05474167075924426,25,0.17451157016038998,0.10792384696810144,0.08154050464807437,0.8862650602409639,0.657217231061212,0.11373493975903613,0.09757333333333333,0.11373493975903613,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.02961845852143513,native,0.05,toxicity,encoder_minilm,EXP-007
